Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Final_Result,Grade
STU1001,8.0,66.0,54.1,69.3,59.0,Pass,C
STU1002,6.8,65.6,51.9,65.7,53.0,Pass,C
STU1003,6.8,66.2,66.8,74.3,50.8,Pass,B
STU1004,7.2,77.8,96.1,88.4,71.8,Pass,A
STU1005,6.4,49.0,60.4,52.8,56.3,Pass,C
STU1006,6.1,68.0,47.1,67.6,47.0,Pass,C
STU1007,8.8,81.0,87.1,68.3,82.8,Pass,A
STU1008,7.6,67.0,60.7,72.8,68.1,Pass,B
STU1009,6.5,70.1,60.5,57.7,49.2,Pass,B
STU1010,6.1,80.9,64.8,76.1,65.1,Pass,B
STU1011,6.8,49.7,52.4,62.7,60.4,Pass,C
STU1012,5.6,57.3,62.3,47.7,56.3,Pass,C
STU1013,8.4,63.1,54.6,66.9,59.0,Pass,B
STU1014,3.0,45.0,21.5,37.5,33.4,Fail,Fail
STU1015,5.7,61.2,30.0,45.4,41.3,Fail,Fail
STU1016,5.5,61.6,58.8,53.0,47.8,Pass,C
STU1017,4.1,57.3,34.2,44.8,31.5,Fail,Fail
STU1018,5.9,52.6,44.9,73.6,71.3,Pass,B
STU1019,4.6,66.2,43.2,47.1,50.5,Fail,Fail
STU1020,4.7,45.2,42.7,45.6,42.4,Fail,Fail
STU1021,8.3,80.6,90.4,100.0,73.9,Pass,A+
STU1022,5.2,68.6,53.4,48.8,51.0,Pass,C
STU1023,6.1,80.8,58.1,51.2,60.5,Pass,B
STU1024,6.4,45.0,46.7,57.5,28.2,Fail,Fail
STU1025,7.1,45.0,38.7,57.2,63.3,Pass,C
STU1026,6.6,70.6,58.9,65.4,51.0,Pass,B
STU1027,4.7,74.7,44.1,42.8,42.1,Pass,C
STU1028,6.6,82.3,68.8,68.7,61.9,Pass,B
STU1029,5.9,64.9,47.4,71.2,60.8,Pass,C
STU1030,4.6,61.2,55.9,64.2,53.8,Pass,C
STU1031,5.0,70.3,33.6,62.6,44.5,Fail,Fail
STU1032,6.6,74.5,83.2,74.9,85.1,Pass,A
STU1033,6.4,72.2,63.0,56.8,64.0,Pass,B
STU1034,5.4,63.8,37.3,29.4,51.2,Fail,Fail
STU1035,6.5,84.3,72.8,68.7,74.5,Pass,B
STU1036,6.1,82.8,44.8,60.1,67.5,Pass,B
STU1037,5.0,73.3,60.7,68.3,76.5,Pass,B
STU1038,2.2,47.3,31.8,31.3,30.4,Fail,Fail
STU1039,4.6,56.8,33.3,46.7,54.6,Pass,C
STU1040,7.3,53.7,61.5,65.5,58.9,Pass,B
STU1041,8.6,67.8,75.3,82.2,68.1,Pass,A
STU1042,5.7,65.7,63.7,72.0,47.1,Pass,B
STU1043,6.9,62.3,54.2,53.6,54.3,Pass,B
STU1044,5.6,66.9,57.1,63.0,49.3,Pass,C
STU1045,4.1,48.4,42.8,51.2,45.6,Fail,Fail
STU1046,6.0,72.2,34.9,54.1,60.1,Pass,C
STU1047,6.1,64.2,61.2,66.1,38.4,Pass,C
STU1048,5.7,76.6,73.5,97.7,69.5,Pass,A
STU1049,7.9,67.9,68.1,73.5,68.9,Pass,B
STU1050,5.3,54.9,41.9,47.5,37.6,Fail,Fail
STU1051,5.8,78.1,55.3,61.9,68.5,Pass,B
STU1052,5.9,57.0,49.3,62.1,54.2,Pass,C
STU1053,5.7,56.5,47.8,60.7,51.4,Pass,C
STU1054,7.0,70.3,63.7,76.0,62.2,Pass,B
STU1055,6.7,64.4,87.6,69.8,57.9,Pass,B
STU1056,6.4,68.3,68.0,77.6,58.6,Pass,B
STU1057,5.0,56.8,43.5,64.9,52.6,Pass,C
STU1058,6.8,73.3,56.8,67.7,56.7,Pass,B
STU1059,6.9,73.1,56.6,78.9,61.3,Pass,A
STU1060,6.8,77.8,71.9,75.7,66.3,Pass,B
STU1061,6.2,71.7,55.0,66.6,52.5,Pass,B
STU1062,2.9,65.2,54.9,56.0,63.0,Pass,C
STU1063,5.8,62.4,42.8,45.2,44.3,Fail,Fail
STU1064,2.8,57.2,38.4,45.4,35.1,Fail,Fail
STU1065,6.6,77.1,61.6,67.4,72.8,Pass,B
STU1066,6.5,73.9,82.6,75.7,70.2,Pass,B
STU1067,4.6,45.5,71.2,61.6,51.9,Pass,C
STU1068,8.4,75.1,75.2,85.1,80.1,Pass,A
STU1069,6.0,83.8,67.0,59.3,65.1,Pass,B
STU1070,5.6,71.0,55.2,65.5,55.0,Pass,C
STU1071,6.4,79.7,56.5,74.6,55.9,Pass,B
STU1072,8.3,91.8,95.0,82.4,76.3,Pass,A
STU1073,6.0,68.5,60.9,52.3,62.1,Pass,B
STU1074,6.6,82.7,94.9,82.1,64.9,Pass,A
STU1075,3.9,45.0,20.0,27.6,30.1,Fail,Fail
STU1076,6.5,71.9,85.1,76.0,67.1,Pass,B
STU1077,4.5,74.3,66.7,58.5,60.6,Pass,C
STU1078,5.2,76.4,59.4,43.4,64.7,Pass,C
STU1079,7.6,67.5,63.0,67.7,61.0,Pass,B
STU1080,4.5,47.6,28.4,37.2,45.4,Fail,Fail
STU1081,5.4,66.2,65.1,66.0,48.6,Pass,B
STU1082,6.1,76.4,66.3,63.5,64.3,Pass,B
STU1083,7.5,67.2,68.4,98.4,71.7,Pass,A
STU1084,7.5,45.0,44.4,48.8,40.1,Fail,Fail
STU1085,5.4,56.4,46.6,65.2,54.5,Pass,C
STU1086,5.8,52.9,54.6,57.3,66.0,Pass,C
STU1087,8.1,71.0,73.3,87.8,66.9,Pass,B
STU1088,6.6,69.4,73.5,70.9,64.8,Pass,B
STU1089,5.1,59.6,38.4,65.9,51.7,Pass,C
STU1090,6.4,85.3,68.7,68.5,61.9,Pass,B
STU1091,6.0,71.7,48.7,57.2,47.1,Pass,C
STU1092,7.1,78.7,79.8,89.8,64.5,Pass,A
STU1093,5.9,67.8,48.8,56.4,41.9,Pass,C
STU1094,5.7,55.0,58.0,62.4,63.7,Pass,C
STU1095,6.3,74.1,48.1,71.7,55.2,Pass,B
STU1096,4.2,55.2,47.0,36.0,39.2,Fail,Fail
STU1097,6.4,76.5,71.7,74.1,69.0,Pass,B
STU1098,4.3,60.5,68.0,57.9,50.6,Pass,C
STU1099,6.9,54.1,59.2,66.7,49.2,Pass,C
STU1100,6.1,73.4,60.5,63.4,57.7,Pass,C
STU1101,5.3,59.7,33.8,36.0,50.4,Fail,Fail
STU1102,2.6,56.4,59.7,44.2,54.8,Pass,C
STU1103,7.7,57.3,66.4,77.3,54.0,Pass,B
STU1104,4.9,71.5,55.5,60.4,52.2,Pass,C
STU1105,6.9,56.0,52.5,65.5,56.4,Pass,C
STU1106,5.4,86.1,68.6,69.4,67.6,Pass,B
STU1107,8.9,75.5,79.2,91.2,69.6,Pass,A+
STU1108,5.2,75.2,66.6,75.3,61.7,Pass,B
STU1109,5.7,67.2,67.0,65.2,52.6,Pass,B
STU1110,7.8,72.8,45.8,71.5,59.1,Pass,B
STU1111,3.5,47.3,23.1,46.5,32.2,Fail,Fail
STU1112,6.2,66.3,57.6,59.1,75.1,Pass,C
STU1113,6.9,68.9,58.8,80.8,58.5,Pass,B
STU1114,9.3,78.2,86.5,87.2,71.7,Pass,A
STU1115,5.9,73.1,59.8,75.7,56.6,Pass,B
STU1116,6.7,65.9,66.3,67.3,63.8,Pass,B
STU1117,8.4,65.7,58.1,69.9,68.8,Pass,B
STU1118,4.5,49.4,37.2,33.1,38.7,Fail,Fail
STU1119,7.6,54.4,84.5,78.2,53.8,Pass,B
STU1120,8.0,72.5,82.9,70.6,71.6,Pass,B
STU1121,8.1,96.2,68.5,74.7,62.5,Pass,B
STU1122,6.1,67.6,42.1,54.7,46.7,Pass,C
STU1123,8.3,79.4,84.5,94.3,71.7,Pass,A
STU1124,3.2,54.1,36.5,43.5,41.4,Fail,Fail
STU1125,8.3,73.0,67.8,80.5,69.4,Pass,A
STU1126,7.5,91.0,98.0,83.7,78.7,Pass,A
STU1127,5.1,49.2,31.8,44.9,42.5,Fail,Fail
STU1128,4.6,73.4,60.7,69.2,54.2,Pass,B
STU1129,6.1,75.3,62.0,60.5,61.8,Pass,B
STU1130,5.7,70.3,49.6,72.1,54.7,Pass,C
STU1131,4.5,59.2,36.1,42.3,44.9,Fail,Fail
STU1132,6.5,68.7,60.8,67.2,64.7,Pass,B
STU1133,6.3,65.3,31.9,63.3,50.5,Pass,B
STU1134,7.0,77.2,77.6,83.1,67.7,Pass,A
STU1135,4.7,57.2,46.5,50.6,35.9,Fail,Fail
STU1136,8.8,75.6,86.4,86.6,74.2,Pass,A
STU1137,6.2,62.5,54.9,56.9,52.9,Pass,B
STU1138,4.4,79.3,48.0,59.5,63.0,Pass,C
STU1139,7.6,63.6,75.5,85.5,59.4,Pass,B
STU1140,5.2,45.0,39.7,49.7,36.6,Fail,Fail
STU1141,6.0,71.4,69.3,72.3,56.9,Pass,B
STU1142,8.9,79.2,64.7,100.0,76.3,Pass,A
STU1143,3.9,56.3,35.2,44.9,47.8,Fail,Fail
STU1144,6.3,71.7,58.5,70.3,57.7,Pass,B
STU1145,6.1,68.1,66.9,55.9,66.7,Pass,B
STU1146,7.0,87.9,75.0,55.2,70.9,Pass,B
STU1147,3.4,45.0,36.5,47.3,40.2,Fail,Fail
STU1148,3.0,49.6,35.2,41.4,40.0,Fail,Fail
STU1149,8.2,71.4,67.1,73.0,68.8,Pass,B
STU1150,5.5,55.7,58.2,68.6,59.9,Pass,B
STU1151,5.3,68.5,69.7,65.0,76.3,Pass,A
STU1152,4.3,85.8,62.6,72.6,59.6,Pass,B
STU1153,4.5,62.6,29.5,54.0,54.2,Fail,Fail
STU1154,5.0,72.0,60.9,58.5,57.4,Pass,C
STU1155,8.0,59.1,57.1,82.0,52.3,Pass,B
STU1156,6.2,56.6,37.9,56.4,48.6,Pass,C
STU1157,7.6,80.0,79.3,93.6,78.8,Pass,A
STU1158,8.8,69.0,67.9,74.6,82.9,Pass,B
STU1159,5.6,69.7,51.4,46.1,46.4,Pass,C
STU1160,6.5,78.4,72.0,74.1,58.6,Pass,B
STU1161,2.3,50.0,41.1,43.8,46.6,Fail,Fail
STU1162,9.2,76.7,75.0,86.7,52.7,Pass,A
STU1163,6.0,82.0,74.2,75.0,71.3,Pass,B
STU1164,3.4,71.5,42.8,33.9,51.6,Fail,Fail
STU1165,8.2,90.2,66.4,78.3,77.8,Pass,A
STU1166,8.9,62.3,53.9,84.4,67.1,Pass,B
STU1167,8.4,67.5,69.6,78.5,61.7,Pass,A
STU1168,8.8,72.3,89.6,91.3,75.1,Pass,A
STU1169,6.3,63.9,55.6,71.2,49.4,Pass,C
STU1170,5.9,66.0,45.8,51.1,42.8,Pass,C
STU1171,5.7,69.5,40.0,42.4,52.5,Fail,Fail
STU1172,5.3,60.6,52.0,53.0,39.9,Pass,C
STU1173,6.0,64.5,49.6,60.3,53.5,Pass,C
STU1174,6.3,72.2,70.5,61.8,55.2,Pass,C
STU1175,5.6,62.8,57.1,65.3,63.0,Pass,B
STU1176,6.7,93.6,67.1,79.7,84.5,Pass,A
STU1177,4.3,53.6,49.9,60.0,45.4,Fail,Fail
STU1178,7.6,81.7,78.3,87.5,61.5,Pass,B
STU1179,4.7,84.0,62.9,72.8,58.7,Pass,B
STU1180,7.7,87.3,98.6,91.9,83.9,Pass,A+
STU1181,6.9,71.5,76.2,76.5,66.0,Pass,A
STU1182,6.4,57.7,50.8,53.1,44.6,Pass,C
STU1183,5.6,57.5,36.2,45.8,44.3,Fail,Fail
STU1184,5.0,84.3,64.9,62.4,69.0,Pass,B
STU1185,4.7,46.2,51.2,54.9,57.8,Pass,C
STU1186,7.8,87.7,80.0,80.8,55.7,Pass,B
STU1187,5.6,59.1,58.7,87.6,57.5,Pass,B
STU1188,5.7,65.0,65.2,57.6,58.1,Pass,B
STU1189,5.5,57.2,53.5,51.3,41.3,Pass,C
STU1190,3.2,60.8,50.1,40.2,54.7,Pass,C
STU1191,5.6,49.9,50.4,62.3,45.0,Pass,C
STU1192,5.7,79.2,77.8,75.2,68.2,Pass,B
STU1193,5.7,88.0,79.2,76.6,68.8,Pass,B
STU1194,4.8,45.5,37.0,28.9,37.0,Fail,Fail
STU1195,4.6,71.1,51.9,43.5,47.4,Fail,Fail
STU1196,6.9,65.2,52.6,67.8,57.8,Pass,B
STU1197,4.9,64.5,51.7,61.2,56.4,Pass,C
STU1198,6.7,69.4,49.1,56.2,57.4,Pass,C
STU1199,6.3,62.7,58.3,42.5,51.3,Pass,C
STU1200,6.0,63.0,45.9,57.6,52.9,Pass,C
STU1201,6.6,87.2,66.7,72.5,63.7,Pass,B
STU1202,6.2,70.9,71.4,62.8,60.2,Pass,B
STU1203,7.4,83.4,77.8,72.7,72.6,Pass,A
STU1204,7.8,65.1,84.8,73.7,72.2,Pass,A
STU1205,4.4,48.0,32.7,46.6,57.3,Fail,Fail
STU1206,4.9,64.5,41.2,46.8,54.5,Pass,C
STU1207,5.9,85.6,62.3,74.1,75.2,Pass,B
STU1208,6.0,75.4,73.5,47.6,60.9,Pass,B
STU1209,5.2,69.4,74.0,61.2,55.8,Pass,B
STU1210,10.0,87.2,98.2,92.5,84.2,Pass,A+
STU1211,5.4,61.5,76.8,67.1,62.3,Pass,B
STU1212,6.7,82.8,68.8,74.7,64.4,Pass,B
STU1213,6.4,83.8,86.0,82.6,69.3,Pass,A
STU1214,7.7,69.3,80.4,62.1,67.0,Pass,B
STU1215,5.3,61.2,60.4,60.0,56.0,Pass,C
STU1216,8.2,76.7,83.9,84.0,70.5,Pass,B
STU1217,4.4,57.7,36.8,66.9,50.5,Pass,C
STU1218,6.0,65.5,52.8,58.7,51.7,Pass,C
STU1219,4.6,82.9,47.6,58.3,53.8,Pass,C
STU1220,8.2,66.5,66.3,58.0,50.0,Pass,B
STU1221,7.6,83.9,87.4,75.0,95.3,Pass,A+
STU1222,4.1,46.8,37.3,46.5,36.0,Fail,Fail
STU1223,7.5,80.4,79.9,76.7,65.7,Pass,B
STU1224,4.5,53.1,40.7,53.0,33.3,Pass,C
STU1225,5.2,58.3,54.9,46.7,71.9,Pass,C
STU1226,7.2,88.9,69.4,84.2,65.5,Pass,B
STU1227,6.1,81.3,55.0,80.9,58.9,Pass,B
STU1228,4.6,53.7,52.6,52.8,47.6,Pass,C
STU1229,6.1,45.3,54.7,60.0,50.1,Pass,C
STU1230,9.0,82.7,69.9,81.2,74.5,Pass,A
